Query,BPM
Falling Harry Styles,110
Winner Conan Gray,140
orange show speedway Lizzy McAlpine,158
nobody likes a secret Lizzy McAlpine,61
called you again Lizzy McAlpine,129
Oceans & Engines NIKI,95
Tattoos Reneé Rapp,84
the 1 Taylor Swift,160
All Right Christopher Cross,133
Grateful For Natalie Layne,83
RPG SEKAI NO OWARI,135
春泥棒 ヨルシカ,125
Rain Motohiro Hata,92
境界の彼方 茅原実里,184
Lovesong beabadoobee,128
24 sundial,136
pretty isn’t pretty Olivia Rodrigo,124
love is embarrassing Olivia Rodrigo,160
making the bed Olivia Rodrigo,133
ballad of a homeschooled girl Olivia Rodrigo,120
lacy Olivia Rodrigo,78
vampire Olivia Rodrigo,137
bad idea right? Olivia Rodrigo,130
all-american bitch Olivia Rodrigo,156
Too Good to Say Goodbye Bruno Mars,77
Wasted Potential Lindsay Liebro,114
Peach Madukina,150
Back For More Nia Hendricks,116
Pushing 20 Sabrina Carpenter,151
Honeymoon Fades Sabrina Carpenter,115
Girls Make Me Wanna Die The Aces,195
If I'm Honest Trousdale,202
Changing of the Seasons Two Door Cinema Club,130
You Let Me Down Alessia Cara,118
Tell Me Why (Taylor’s Version) Taylor Swift,100
Decimal Novo Amor,79
Lead Me On Nate Poshkus,130
Tell Her Bruno Major,140
Shouldn't Couldn't Wouldn't 88rising,169
Talking to Yourself Carly Rae Jepsen,124
Soranji Mrs. GREEN APPLE,156
No Drug Like Me Carly Rae Jepsen,134
Calling Card ella jane,116
Waste of Emotion ELIO,105
LA in Two (ft. Valley) ELIO,115
Now That I Found You Carly Rae Jepsen,124
Holly Anna Shoemaker,121
Save My Life Niall Horan,155
Jinx Lia Pappas-Kemps,120
Missing June Miki Ratsula,125
Daisy STEREO DIVE FOUNDATION,170
会いたかった空 茅原実里,160
Love You Anymore Devin Kennedy,121
Blur Dhruv,118
"Good, but not together Valley",170
Over You Starletta,102
COMING HOME (feat. NIKI) HONNE,107
Ruin My Life Zara Larsson,125
live it down LANY,131
up to me LANY,121
Summer Baby Jonas Brothers,116
Hard To Be Human Anson Seabra,99
Plot Twist NIKI,97
girls like me don't cry thủy,110
Vintage NIKI,105
Eyes Bazzi,119
Love Keyshia Cole,117
Lay It Down Lloyd,156
Weak SWV,128
I Quit Drinking Kelsea Ballerini,95
SAD ON VACATION Josie Dunne,102
useless information Avery Lynch,168
Always Daniel Caesar,136
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault) Taylor Swift,125
Message In A Bottle (Taylor's Version) (From The Vault) Taylor Swift,116
Love You For A Long Time Maggie Rogers,113
Gimme What I Want Miley Cyrus,90
Vitamins ELIO,120
Underneath My Skin The Band CAMINO,104
Valentine COIN,160
I Think I Met You In A Dream COIN,75
Bruises Reneé Rapp,181
It Could Be Worse Ben Kessler,99
Things You Don't Know Haley Joelle,123
Love Is Letting Go (feat. Diane Keaton) Ashe,89
Priority MAX CHANGMIN,93
2012 (It Ain't The End) Jay Sean,127
Guitar Romantic Search Adventure Wallows,123
Now I'm In It - Bonus Track HAIM,105
Pink Light MUNA,103
There's Still A Light In The House Valley,110
You Vacation Manor,107
The Cause Tommy Lefroy,116
Better Than I Know Myself Del Water Gap,110
I Think I'm Growing? FLETCHER,89
CHARGER (ft. Charli XCX) ELIO,114
inferno ELIO,117
Memories Conan Gray,113
Summer Child Conan Gray,109
Family Line Conan Gray,154
People Watching Conan Gray,126
Movies Conan Gray,104
Cardboard Box FLO,80
GROWING UP IS _____ Ruel,113
Pink + White Frank Ocean,160
We Might Even Be Falling In Love (Interlude) Victoria Monét,77
Real Lily Kincade,91
Like Whoa (A&A Version) Aly & AJ,121
Coast (feat. Anderson .Paak) Hailee Steinfeld,112
Object at Best Lia Pappas-Kemps,156
Jinx Lia Pappas-Kemps,120
Bejeweled Taylor Swift,164
Question...? Taylor Swift,109
"You're On Your Own, Kid Taylor Swift",120
Snow On The Beach (feat. Lana Del Rey) Taylor Swift,110
Maroon Taylor Swift,108
Lavender Haze Taylor Swift,97
